Proceso: chromium
PID: 18409
TID	Estado
18409	State:	S (sleeping)
18415	State:	S (sleeping)
18421	State:	S (sleeping)
18424	State:	S (sleeping)
18425	State:	S (sleeping)
18426	State:	S (sleeping)
18427	State:	S (sleeping)
18428	State:	S (sleeping)
18429	State:	S (sleeping)
18430	State:	S (sleeping)
18431	State:	S (sleeping)
18432	State:	S (sleeping)
18435	State:	S (sleeping)
18436	State:	S (sleeping)
18437	State:	S (sleeping)
18438	State:	S (sleeping)
18439	State:	S (sleeping)
18440	State:	S (sleeping)
18441	State:	S (sleeping)
18442	State:	S (sleeping)
18443	State:	S (sleeping)
18444	State:	S (sleeping)
18445	State:	S (sleeping)
18446	State:	S (sleeping)
18447	State:	S (sleeping)
18448	State:	S (sleeping)
18449	State:	S (sleeping)
18450	State:	S (sleeping)
18464	State:	S (sleeping)
18481	State:	S (sleeping)
18482	State:	S (sleeping)
18532	State:	S (sleeping)
